era_SectionOfLine;era_SectionOfLine_era_opStart;era_SectionOfLine_era_opStart__label;era_SectionOfLine_era_nationalLine_rdfs_label;era_SectionOfLine_era_lengthOfSectionOfLine;era_SectionOfLine_era_opEnd;era_SectionOfLine_era_opEnd__label;CUSTOM_VAR_IN_COUNTRY;CUSTOM_VAR_IN_COUNTRY__label;__type;__label
http://data.europa.eu/949/sectionOfLine/a10bfd42c5;http://data.europa.eu/949/operationalPoint/f77033cc06;Arlanda nedre;30;1.85;http://data.europa.eu/949/operationalPoint/39d202fe41;Arlanda central;http://publications.europa.eu/resource/authority/country/SWE;Sweden;;
http://data.europa.eu/949/sectionOfLine/eb71184212;http://data.europa.eu/949/operationalPoint/39d202fe41;Arlanda central;30;7.858;http://data.europa.eu/949/operationalPoint/d8fa27042a;TRV-Atrain border Myrbacken;http://publications.europa.eu/resource/authority/country/SWE;Sweden;;
http://data.europa.eu/949/sectionOfLine/185243d4a4;http://data.europa.eu/949/operationalPoint/f81c7a49a9;Arlanda södra;30;0.64;http://data.europa.eu/949/operationalPoint/b2fdcc6606;Arlanda norra;http://publications.europa.eu/resource/authority/country/SWE;Sweden;;
http://data.europa.eu/949/sectionOfLine/179a624892;http://data.europa.eu/949/operationalPoint/f77033cc06;Arlanda nedre;30;1.26;http://data.europa.eu/949/operationalPoint/f81c7a49a9;Arlanda södra;http://publications.europa.eu/resource/authority/country/SWE;Sweden;;
http://data.europa.eu/949/sectionOfLine/2258bac426;http://data.europa.eu/949/operationalPoint/54ec9a6dda;TRV-Atrain border Skavstaby;30;4.889;http://data.europa.eu/949/operationalPoint/587cd2ddb5;Blackvreten;http://publications.europa.eu/resource/authority/country/SWE;Sweden;;
http://data.europa.eu/949/sectionOfLine/3d51a89d48;http://data.europa.eu/949/operationalPoint/587cd2ddb5;Blackvreten;30;3.002;http://data.europa.eu/949/operationalPoint/f77033cc06;Arlanda nedre;http://publications.europa.eu/resource/authority/country/SWE;Sweden;;
http://data.europa.eu/949/sectionOfLine/a78ae3c48e;http://data.europa.eu/949/operationalPoint/5c6f54f84a;Peberholm;98;11.455;http://data.europa.eu/949/operationalPoint/23158b1c78;Öresundsbro Konsortiet - Trafikverket km 281+810;http://publications.europa.eu/resource/authority/country/SWE;Sweden;;
http://data.europa.eu/949/sectionOfLine/fa9ef33ec6;http://data.europa.eu/949/operationalPoint/6d6ea5596a;Peberholm gränsen;98;0.106;http://data.europa.eu/949/operationalPoint/5c6f54f84a;Peberholm;http://publications.europa.eu/resource/authority/country/SWE;Sweden;;
http://data.europa.eu/949/sectionOfLine/e301fb7e27;http://data.europa.eu/949/operationalPoint/a98b5f90ed;Malmö godsbangård;24;2.811;http://data.europa.eu/949/operationalPoint/3c12983d7c;Malmö central;http://publications.europa.eu/resource/authority/country/SWE;Sweden;;
http://data.europa.eu/949/sectionOfLine/9d50e5f683;http://data.europa.eu/949/operationalPoint/da7d4d0567;Trollhättan;11;8.216;http://data.europa.eu/949/operationalPoint/075e6ad447;Velanda södra;http://publications.europa.eu/resource/authority/country/SWE;Sweden;;
http://data.europa.eu/949/sectionOfLine/558ca03d7d;http://data.europa.eu/949/operationalPoint/7d805f661f;Kolbäck;16;6.642;http://data.europa.eu/949/operationalPoint/1f2d296423;Munktorp;http://publications.europa.eu/resource/authority/country/SWE;Sweden;;
http://data.europa.eu/949/sectionOfLine/73e761f660;http://data.europa.eu/949/operationalPoint/6da9797e83;Krokvik;21;10.396;http://data.europa.eu/949/operationalPoint/9b3475eca8;Rautas;http://publications.europa.eu/resource/authority/country/SWE;Sweden;;
